Mg2SiO3,,,,,,,Mg4SiO3,,,,,,Mg3SiO4,,,,
Energy,PDOS,,,,,,Energy,PDOS,,,,,Energy,PDOS,,,
eV,Mg 3s,Si 3p,O 2p,ISQ,,,eV,Mg 3s,Si 3p,O 2p,,,eV,Mg 3s,Si 3p,O 2p,ISQ
,,,,,,,,,,,,,,,,,
-30.70117,0.05716,0.02642,0.01489,0.0385,,,-37.08968,0.0419,0.04132,0.02745,,,-28.75765,0.10656,0.01213,0.02365,0.04668
-30.66717,0.05636,0.02725,0.01491,0.03796,,,-37.04768,0.04195,0.04246,0.02848,,,-28.72265,0.10638,0.0124,0.02473,0.048
-30.63317,0.05524,0.02798,0.01491,0.03728,,,-37.00468,0.04214,0.04368,0.02965,,,-28.68665,0.10614,0.01267,0.02591,0.04942
-30.60017,0.054,0.02861,0.0149,0.03656,,,-36.96268,0.04234,0.045,0.0309,,,-28.65165,0.10604,0.01295,0.02716,0.05098
-30.56617,0.0528,0.02922,0.01492,0.0359,,,-36.91968,0.04243,0.04634,0.03212,,,-28.61665,0.10608,0.01328,0.02848,0.05262
-30.53217,0.05172,0.02991,0.015,0.03538,,,-36.87768,0.04229,0.04766,0.0332,,,-28.58165,0.1062,0.01363,0.02978,0.05428
-30.49817,0.051,0.03077,0.01517,0.03506,,,-36.83468,0.04189,0.04889,0.03411,,,-28.54565,0.10636,0.01402,0.03107,0.05586
-30.46417,0.05064,0.03181,0.01543,0.03494,,,-36.79268,0.04123,0.05002,0.03484,,,-28.51065,0.1065,0.01443,0.03226,0.05728
-30.43017,0.05068,0.03302,0.01575,0.03502,,,-36.74968,0.04036,0.05101,0.0354,,,-28.47565,0.10658,0.01488,0.03336,0.05854
-30.39617,0.05104,0.03434,0.01612,0.03522,,,-36.70768,0.03934,0.0519,0.03587,,,-28.44065,0.10672,0.01539,0.03438,0.05964
-30.36217,0.05156,0.03566,0.01648,0.03542,,,-36.66468,0.03824,0.05275,0.03633,,,-28.40465,0.10692,0.01593,0.03537,0.06066
-30.32817,0.05204,0.03689,0.01681,0.03558,,,-36.62268,0.03714,0.05364,0.03688,,,-28.36965,0.10738,0.01654,0.03639,0.06172
-30.29417,0.05236,0.03789,0.01704,0.03558,,,-36.58068,0.03614,0.0547,0.03765,,,-28.33465,0.10804,0.01721,0.03752,0.06296
-30.26017,0.0524,0.03865,0.0172,0.0354,,,-36.53768,0.03533,0.05614,0.03875,,,-28.29965,0.10896,0.01792,0.03882,0.06442
-30.22617,0.05216,0.0392,0.01729,0.03508,,,-36.49568,0.0348,0.05805,0.04025,,,-28.26365,0.11,0.01863,0.04029,0.06616
-30.19217,0.05176,0.03967,0.01733,0.03468,,,-36.45268,0.03454,0.06049,0.04215,,,-28.22865,0.11098,0.0193,0.04188,0.06808
-30.15817,0.05132,0.04022,0.01741,0.0343,,,-36.41068,0.0345,0.06344,0.04432,,,-28.19365,0.11166,0.0199,0.04347,0.07
-30.12417,0.05096,0.04102,0.01755,0.03402,,,-36.36768,0.0345,0.06668,0.04659,,,-28.15765,0.11168,0.02036,0.04483,0.07158
-30.09117,0.05088,0.04221,0.0178,0.0339,,,-36.32568,0.03439,0.06997,0.04875,,,-28.12265,0.11078,0.02064,0.04577,0.07248
-30.05717,0.05112,0.04384,0.01815,0.034,,,-36.28268,0.03401,0.07305,0.05058,,,-28.08765,0.10864,0.02071,0.04606,0.0724
-30.02317,0.0516,0.04588,0.0186,0.03424,,,-36.24068,0.03326,0.07569,0.05194,,,-28.05265,0.10518,0.02052,0.04561,0.07116
-29.98917,0.05224,0.04821,0.01908,0.03456,,,-36.19768,0.03214,0.07768,0.05281,,,-28.01665,0.1004,0.02015,0.04442,0.0688
-29.95517,0.05292,0.05069,0.01956,0.03486,,,-36.15568,0.03074,0.07902,0.05317,,,-27.98165,0.09472,0.01964,0.04273,0.06562
